fami_tienecomputador,fami_tieneautomovil,fami_educacionmadre,fami_trabajolabormadre,fami_estratovivienda,cole_naturaleza,cole_jornada,punt_global_cuartil,nlprog_mod,admitido
Si,Si,Educación profesional completa,"Trabaja en el hogar, no trabaja o estudia",Estrato 3,NO OFICIAL,COMPLETA,Q4,FÍSICA,SI
Si,Si,Educación profesional completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Estrato 3,NO OFICIAL,MAÑANA,Q4,FÍSICA,NO
Si,Si,Postgrado,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Estrato 5,NO OFICIAL,COMPLETA,Q4,FÍSICA,NO
Si,Si,Postgrado,"Trabaja en el hogar, no trabaja o estudia",Estrato 6,NO OFICIAL,COMPLETA,Q4,FÍSICA,SI
Si,Si,Educación profesional completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Estrato 5,NO OFICIAL,COMPLETA,Q4,FÍSICA,NO
Si,No,Postgrado,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Estrato 3,NO OFICIAL,COMPLETA,Q4,FÍSICA,NO
Si,No,Primaria incompleta,"Es agricultor, pesquero o jornalero",Estrato 3,OFICIAL,MAÑANA,Q3,FÍSICA,NO
Si,Si,Técnica o tecnológica completa,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Estrato 2,OFICIAL,UNICA,Q3,FÍSICA,NO
Si,No,Secundaria (Bachillerato) completa,"Trabaja en el hogar, no trabaja o estudia",Estrato 1,OFICIAL,MAÑANA,Q2,FÍSICA,NO
No,No,Secundaria (Bachillerato) incompleta,"Trabaja en el hogar, no trabaja o estudia",Estrato 3,OFICIAL,TARDE,Q2,FÍSICA,NO
Si,No,Educación profesional completa,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Estrato 2,NO OFICIAL,MAÑANA,Q4,FÍSICA,NO
Si,Si,Educación profesional completa,"Trabaja en el hogar, no trabaja o estudia",Estrato 2,NO OFICIAL,MAÑANA,Q4,FÍSICA,NO
Si,No,Secundaria (Bachillerato) incompleta,"Trabaja en el hogar, no trabaja o estudia",Estrato 1,OFICIAL,TARDE,Q3,FÍSICA,NO
Si,Si,Primaria completa,"Trabaja en el hogar, no trabaja o estudia",Estrato 3,OFICIAL,TARDE,Q4,FÍSICA,NO
Si,No,Técnica o tecnológica incompleta,"Trabaja en el hogar, no trabaja o estudia",Estrato 4,OFICIAL,TARDE,Q4,FÍSICA,NO
Si,Si,Educación profesional completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Estrato 3,NO OFICIAL,COMPLETA,Q4,FÍSICA,NO
Si,Si,Educación profesional incompleta,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Estrato 3,OFICIAL,TARDE,Q3,FÍSICA,NO
No,No,Educación profesional completa,"Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial",Estrato 2,OFICIAL,MAÑANA,Q3,FÍSICA,NO
No,No,Secundaria (Bachillerato) incompleta,"Trabaja en el hogar, no trabaja o estudia",Estrato 3,OFICIAL,MAÑANA,Q4,FÍSICA,NO
Si,No,Primaria incompleta,"Trabaja en el hogar, no trabaja o estudia",Estrato 1,OFICIAL,TARDE,Q1,FÍSICA,NO
Si,No,Técnica o tecnológica completa,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Estrato 3,NO OFICIAL,MAÑANA,Q3,FÍSICA,NO
Si,No,Secundaria (Bachillerato) completa,"Trabaja en el hogar, no trabaja o estudia",Estrato 1,OFICIAL,MAÑANA,Q4,FÍSICA,SI
